Flavor,Comparison,Effect_Size_Diff,CI_Lower,CI_Upper,P_Value
noTrajNorm_noStandardization,tot_dist_minus_x_std,0.660183618957491,0.206168528476673,1.2958665089183,0.003
noTrajNorm_noStandardization,tot_dist_minus_vel,0.15211608301674,-0.097503049932245,0.572997664677973,0.2896
noTrajNorm_noStandardization,auc_minus_max_vel,0.440250031273977,0.0384099566089546,0.932647959708474,0.0336
noTrajNorm_noStandardization,ra_minus_auc,0.0541894468738133,-0.138442332052767,0.190008836414618,0.5186
noTrajNorm_noStandardization,kb_rt_minus_auc,0.512709624878122,-0.106447999366903,1.16021103981728,0.0964
noTrajNorm_noStandardization,auc_minus_head_angle,0.0140188928199746,-0.203997485778117,0.341260501579764,0.9286
noTrajNorm_noStandardization,iep_minus_auc,0.0532768296999061,-0.229116393246115,0.231728094688198,0.6264
noTrajNorm_noStandardization,traj_minus_auc,0.0544646611668896,-0.183021771474474,0.197506788910303,0.5706
noTrajNorm_noStandardization,auc_minus_x_std,0.426589769810674,0.0255149316681795,0.970634570356903,0.0356
noTrajNorm_noStandardization,vel_minus_auc,0.0814777661300778,-0.267211799914641,0.320078179986951,0.5712
noTrajNorm_noStandardization,ra_minus_max_vel,0.494439478147791,0.0891297267206036,0.924284845901062,0.018
noTrajNorm_noStandardization,kb_rt_minus_max_vel,0.952959656152099,0.602270922511241,1.42549658689527,0
noTrajNorm_noStandardization,head_angle_minus_max_vel,0.426231138454003,0.0511342529875308,0.791067308945204,0.0266
noTrajNorm_noStandardization,iep_minus_max_vel,0.493526860973883,0.133177644260344,0.85508529313936,0.0078
noTrajNorm_noStandardization,traj_minus_max_vel,0.494714692440867,0.110270610082884,0.893617888152971,0.0122
noTrajNorm_noStandardization,x_std_minus_max_vel,0.0136602614633033,-0.436055050748423,0.372841044434075,0.9822
noTrajNorm_noStandardization,vel_minus_max_vel,0.521727797404055,0.152747272956565,0.890307196445149,0.007
noTrajNorm_noStandardization,kb_rt_minus_ra,0.458520178004309,-0.0723713475325506,1.08425831096593,0.0932
noTrajNorm_noStandardization,ra_minus_head_angle,0.0682083396937879,-0.0995695083556602,0.255859056857989,0.4394
noTrajNorm_noStandardization,ra_minus_iep,0.000912617173907226,-0.148182124137169,0.160092794693863,0.9904
noTrajNorm_noStandardization,traj_minus_ra,0.000275214293076309,-0.0895126071865404,0.0734464721372338,0.9808
noTrajNorm_noStandardization,ra_minus_x_std,0.480779216684487,0.153392439683394,0.901889412532648,0.003
noTrajNorm_noStandardization,vel_minus_ra,0.0272883192562645,-0.172718946407483,0.218176514750591,0.797
noTrajNorm_noStandardization,kb_rt_minus_head_angle,0.526728517698096,0.063504781210851,1.10654232464411,0.0262
noTrajNorm_noStandardization,kb_rt_minus_iep,0.459432795178216,-0.0228283793824861,1.05583589042594,0.0626
noTrajNorm_noStandardization,kb_rt_minus_traj,0.458244963711232,-0.0420998607598615,1.05569541796662,0.0746
noTrajNorm_noStandardization,kb_rt_minus_x_std,0.939299394688796,0.561990996825108,1.47895133224365,0
noTrajNorm_noStandardization,kb_rt_minus_vel,0.431231858748044,-0.0160499951875875,0.995937859493389,0.0622
noTrajNorm_noStandardization,iep_minus_head_angle,0.0672957225198807,-0.00301829386751234,0.145358244801187,0.0576
noTrajNorm_noStandardization,traj_minus_head_angle,0.0684835539868642,-0.0761042836594852,0.220405000239522,0.3606
noTrajNorm_noStandardization,head_angle_minus_x_std,0.412570876990699,0.15202592109408,0.727595713569692,0.0022
noTrajNorm_noStandardization,vel_minus_head_angle,0.0954966589500524,0.038621401292066,0.162348777812317,0.0012
noTrajNorm_noStandardization,traj_minus_iep,0.00118783146698354,-0.124023985135403,0.126303294083902,0.9994
noTrajNorm_noStandardization,iep_minus_x_std,0.47986659951058,0.187286100255029,0.818365462116486,0.0014
noTrajNorm_noStandardization,vel_minus_iep,0.0282009364301717,-0.0687257176264294,0.119460213972757,0.5456
noTrajNorm_noStandardization,traj_minus_x_std,0.481054430977564,0.173175696250412,0.856738094680187,0.0012
noTrajNorm_noStandardization,vel_minus_traj,0.0270131049631882,-0.133894942825613,0.187868980577852,0.722
noTrajNorm_noStandardization,vel_minus_x_std,0.508067535940752,0.249867014457985,0.818935281047188,0
TrajNorm_noStandardization,mt_minus_react,0.874287090015129,0.181116366344825,1.38441050885417,0.011
TrajNorm_noStandardization,mad_minus_react,0.63197843812478,-0.0516457332283984,1.39219806724403,0.0718
TrajNorm_noStandardization,com_minus_react,0.167087680547765,-0.590184075422165,0.658146750413863,0.7368
TrajNorm_noStandardization,tot_dist_minus_react,0.654038527899816,0.0172194795731588,1.25751742285582,0.0436
TrajNorm_noStandardization,auc_minus_react,0.419679356252169,-0.227455231043717,0.921465807180353,0.2236
